courseName,courseCode,cohortSize
Contemporary Art & Open Learning,ARTX10064,44
Presentation: methods & contexts 3a,ARTX10065,NA
Exhibiting at Large as Contemporary Artists,ARTX10066,25
Artistic Research 4 (20 Credits),ARTX10068,11
Artistic Research 4 (40 Credits),ARTX10069,78
TPG Methods,ARTX11033,23
TPG Methods,ARTX11033,1
TPG Masters Project,ARTX11034,28
TPG Sites,ARTX11035,26
TPG Sites,ARTX11035,2
TPG Studio,ARTX11036,23
TPG Studio,ARTX11036,1
TPG Visual Cultures,ARTX11037,2
Contemporary Art + Anthropology (Level 11),ARTX11042,44
Themes in Contemporary Art,ARTX11044,44
The Future Business of Art,ARTX11046,26
Curating,ARTX11047,44
Contemporary Artistic Research Project,ARTX11050,44
ECA MSc by Research Dissertation,ARTX11051,NA
Foundation Japanese Language 1,ASST07008,114
Foundation Japanese Language 1,ASST07008,89
Foundation Japanese Language 2,ASST07016,64
Foundation Korean Language 2,ASST07018,27
Foundation Korean Language 1,ASST07019,50
Foundation Korean Language 1,ASST07019,52
Foundation Business Chinese 1,ASST07022,10
Foundation Chinese Language 1,ASST07024,38
Foundation Chinese Language 1,ASST07024,20
Foundation Chinese Language 2,ASST07025,17
Foundation English-Chinese Translation,ASST07027,33
Foundation English-Chinese Translation,ASST07027,35
Chinese 1,ASST08001,34
Chinese 2A,ASST08018,54
Politics and the Economy of Japan,ASST08041,30
Modern East Asian History A,ASST08042,89
Modern East Asian History B,ASST08043,100
Researching Japan: Skills, Methods and Critiques,ASST08049,20
Chinese 2C,ASST08050,20
Society and culture in pre-modern East Asia,ASST08052,59
Introduction to Japanese Literature,ASST08053,38
Modern China in Literature and Film A,ASST08055,67
Japanese Language Pre-Intermediate,ASST08057,29
Japanese Language Pre-Intermediate,ASST08057,3
Japanese Language Post Beginner,ASST08058,5
Japanese Language Post Beginner,ASST08058,28
Japanese Language Beginner,ASST08059,29
Japanese Language Lower Intermediate,ASST08060,8
Japanese Language Lower Intermediate,ASST08060,30
Politics of Everyday Life in Modern Korea,ASST08063,51
Kanji: A linguistic and cultural introduction,ASST08065,12
Supernatural Japan: Doing Japanology through Yokai,ASST08067,34
Japanese Language Upper Intermediate,ASST08068,7
Japanese Language Mid-Intermediate,ASST08069,4
Japanese Language Mid-Intermediate,ASST08069,7
Intermediate Chinese Language Modern and Traditional,ASST08070,33
Seoul, Shanghai and Edinburgh: Peoples, cultures, and spaces,ASST08071,100
East Asian Youth: Spaces, Ecologies, Technologies,ASST08072,38
Pre-modern East Asian History,ASST08073,58
Chinese Literature 3,ASST09001,29
Chinese Special Subject 3,ASST09002,29
Japanese Studies on the Year Abroad,ASST09004,22
Japanese 4 Dissertation (Completion),ASST10066,13
Chinese Special Subject 4,ASST10081,19
Chinese Oral,ASST10093,35
Chinese Language 4a,ASST10094,35
Chinese Language 4B,ASST10095,35
Chinese Literature 4A (pre-modern),ASST10106,11
Chinese Literature 4B (modern),ASST10107,10
Chinese History and Thought 4A (pre-modern),ASST10108,13
Japanese 4 Oral,ASST10121,19
Politics and Policy in Contemporary China,ASST10126,10
Japanese Language 3,ASST10128,29
Representations of history in the cinema of Communist China,ASST10132,8
Japanese Language 4,ASST10133,19
Radical Japan: culture, politics and protest in Japan's Long 1960s,ASST10139,14
Language Communities and Variation in Japanese,ASST10141,10
Translation from Japanese to English,ASST10148,19
The Contemporary Chinese Life Cycle: Ethnographic Perspectives,ASST10150,7
Media and Visual Culture in Modern China,ASST10151,18
Political Economy of Korean Development,ASST10152,5
Unwritten Korea: Understanding Korean Society and Culture through Contemporary Arts and Films,ASST10153,13
Korean History, Culture, and Society,ASST10154,6
Korean Politics and International Relations,ASST10155,5
Global Cities: Seoul and comparative perspectives,ASST10156,14
Literature and Performance in Modern Japan,ASST10158,14
Buddhism and the State in Early East Asia,ASST10159,14
Media, Propaganda and the State in Modern China,ASST10160,12
MSc by Research in Japanese Dissertation,ASST11020,NA
MSc by Research in Chinese Studies Dissertation,ASST11025,NA
MSc East Asian Relations Dissertation,ASST11083,22
East Asian International Relations,ASST11084,21
Radical Japan: culture, politics and protest in Japan's &quot;Long 1960s&quot; (PG Version),ASST11095,6
Language Communities and Variation in Japanese,ASST11096,2
Research Skills and Methods for Asian Studies 2,ASST11104,29
Korean History, Culture, and Society,ASST11107,7
Unwritten Korea: Understanding Korean Society and Culture through Contemporary Arts and Films,ASST11108,10
Korean Politics and International Relations,ASST11109,9
Global Cities: Seoul and comparative perspectives,ASST11110,15
MSc by Research in Korean Studies Dissertation,ASST11111,NA
Political Economy of Korea's Development,ASST11112,17
MSc Korean Studies Dissertation,ASST11113,7
China from 1978 to 2018: Reflecting on 40 Years of Reform and Opening,ASST11115,14
The Contemporary Chinese Life Cycle: Ethnographic Perspectives,ASST11118,6
Korean Language Beginner 2,ASST11119,4
Korean Language Beginner 1,ASST11120,8
Korean Language Beginner 1,ASST11120,3
Buddhism and the State in Early East Asia,ASST11125,4
International Animal Welfare Science,AWAB11020,23
Animal ethics, policy and law,AWAB11022,39
Production Animal welfare,AWAB11024,NA
International Animal Welfare Dissertation,AWAB11035,20
Clinical Animal Behaviour,AWAB11036,52
Captive and Free-ranging Wild Animal Welfare,AWAB11038,NA
Clinical Animal Behaviour in Practice,AWAB11041,NA
Anthrozoology,AWAB11042,NA
Principles of Applied Animal Behaviour,AWAB11043,49
Clinical Animal Behaviour Dissertation,AWAB11044,21
Animal Cognition and Consciousness,AWAB11046,17
Biology of Suffering,AWAB11047,NA
Introduction to Applied Animal Behaviour and Animal Welfare,AWAB11048,17
Applied Animal Behaviour & Welfare Dissertation,AWAB11049,17
Scientific Methodology,AWAB11050,16
Animal Welfare Applications,AWAB11051,16
