Name of Department,Module ID,Name of Module,Name of Type,Activity ID,Name,Day,Start Time,End Time,Whole-Class/Subgroup,Size,Real Size,Duration,Weeks,Number of weeks,Room,Building,Campus
School of Law,LAWS08133_SV1_YR,Property Law (Ordinary),*Tutorial,#SPLUS0845D9,Property Law Ord LAWS08133 - S1 - Tutorial/24,Fri,13:00,14:00,,12,12,2,"Sem1 wk2, Sem1 wk4, Sem1 wk6, Sem1 wk8, Sem1 wk10",5,LLTC_1.4,Lister Learning and Teaching Centre,*Central
School of Social and Political Science,PGSP11562_SV1_SEM1,Critical approaches to Global Mental Health and Social Change,*Tutorial,#SPLUSBDB6A4,Critical approaches to Global Mental Health and Social Change - Tutorial/04,Thu,12:00,13:00,,18,11,2,Sem1 wk1-Sem1 wk11,11,MST_1.9 - Doorway 6,"Medical School, Teviot",*Central
School of Informatics,INFR11114_SV1_SEM1,Types and Semantics for Programming Languages,*Lecture,#SPLUS5FAE62,Types and Semantics for Programming Languages - Lecture,Fri,12:00,14:00,WC,48,30,4,Sem1 wk1,1,MST_Teaching Room 13 (01M.473) - Doorway 3,"Medical School, Teviot",*Central
School of Physics and Astronomy,PHYS11016_SS1_YR,MPhys Project,*Activity,#SPLUS5FA87B,Start of Year Meeting (Year 5) - CO to advise location,Fri,14:00,17:00,WC,270,84,6,Sem1 wk1,1,0,0,0
School of Physics and Astronomy,,,*Activity,#SPLUS3F8676,Start of Year Meeting (Year 4),Wed,14:00,16:00,,150,158,4,Sem1 wk1,1,HBB_Lecture Theatre 2,Hudson Beare Building,*King's Buildings
School of Physics and Astronomy,PHYS09061_SV1_YR,Thermal Physics,*Activity,#SPLUS5FA409,Start of Year Meeting (Year 3) - CO to advise location,Mon,14:00,15:00,WC,270,219,2,Sem1 wk1,1,0,0,0
School of Physics and Astronomy,PHYS08045_SV1_SEM1,Modern Physics,*Activity,#SPLUS5FA016,Start of Year Meeting (Year 2),Tue,16:00,18:00,WC,270,250,4,Sem1 wk1,1,JBB_Theatre 250,Joseph Black Building,*King's Buildings
School of Social and Political Science,,,*Tutorial,#SPLUS6B211F,SWIF/SWIC (PG) - Tutorial/03,Tue,14:00,15:00,,25,10,2,Sem1 wk1-Sem1 wk10,10,40GS_7.18,40 George Square,*George Square/Buccleuch
School of Health in Social Science,NUST11115_SV1_SEM1,Leadership - Exploring your potential (Online),*Tutorial - Online Live,#SPLUSE3CE9C,Leadership - Exploring your potential (Online) - Tutorial,Tue,14:00,15:00,WC,10,7,2,Sem1 wk1-Sem1 wk11,11,0,0,0
Edinburgh College of Art,,,*Lecture,#SPLUSE9B5A1 005,Creative Coding for Sound - Lecture <11>,Thu,14:00,16:00,,60,39,4,Sem1 wk3,1,HB_Lecture Theatre O.17A,Hunter Building,*Lauriston
