courseCode,cohortSize,Campus
ARCH11271,39,*Lauriston
ARCH11271,39,0
ARCH11271,39,*Lauriston
ARCH11271,39,0
ARCH11271,39,*Lauriston
ARCH11271,39,0
ARCH11272,53,*Lauriston
ARCH11272,53,*Lauriston
ARCH11272,53,*Holyrood
ARCH11272,53,*Central
ARCH11272,53,*Lauriston
ARCH11272,53,*Central
ARCH11272,53,*Lauriston
ARCH11272,53,*Lauriston
ARCH11272,53,*Central
ARCH11272,53,*Lauriston
ARCH11272,53,*Lauriston
ARCH11272,53,*Lauriston
ARCH11272,53,*Lauriston
ARCH11272,53,*Lauriston
ARCH11272,53,*Holyrood
ARCH11272,53,*Holyrood
ARCH11273,45,*Lauriston
ARCH11273,45,*Lauriston
ARCH11273,45,*Lauriston
ARCH11273,45,*Lauriston
ARCH11273,45,*Lauriston
ARCH11273,45,*Lauriston
ARCH11273,45,*Lauriston
ARCH11273,45,*Lauriston
ARCH11273,45,*George Square/Buccleuch
ARCH11274,45,*Lauriston
ARCH11274,45,*Lauriston
ARCH11274,45,0
ARCH11274,45,0
ARCH11274,45,*Lauriston
ARCH11281,2,*Central
ARCH11281,2,*Central
ARCH11282,30,*Lauriston,*Lauriston
ARCH11283,30,*Lauriston,*Lauriston
ARCH11283,30,*Lauriston
ARCH11287,5,*Central
ARCH11290,NA,*Central
ARCH11290,NA,*Central
ARDE10002,14,*Central
ARDE10002,14,*Central
ARDE10002,14,*Central
ARDE10002,14,*Central
ARHI08009,197,*Central
ARHI08009,197,*Central
ARHI08009,197,*Central
ARHI08009,197,*Central
ARHI08009,197,*Central
ARHI08009,197,*Central
ARHI08009,197,*Central
ARHI08009,197,*Central
ARHI08009,197,*Central
ARHI08009,197,*Central
ARHI08009,197,*Central
ARHI08009,197,*Central
ARHI08009,197,*Central
ARHI08009,197,*Central
ARHI08009,197,*Central
ARHI08009,197,*Central
ARHI08009,197,*Central
ARHI08009,197,*Central
ARHI08009,197,*Central
ARHI08009,197,*Central
ARHI08009,197,*Central
ARHI08009,197,*Central
ARHI08009,197,*Central
ARHI08009,197,*George Square/Buccleuch
ARHI08009,197,*George Square/Buccleuch
ARHI08009,197,*George Square/Buccleuch
ARHI08010,162,*Central
ARHI08010,162,*George Square/Buccleuch
ARHI08010,162,*Central
ARHI08010,162,*Central
ARHI08010,162,*Central
ARHI08010,162,*Central
ARHI08010,162,*Central
ARHI08010,162,*Central
ARHI08010,162,*Central
ARHI08010,162,*Central
ARHI08010,162,*Central
ARHI08010,162,*Central
ARHI08010,162,*Central
ARHI08010,162,*Central
ARHI08010,162,*Central
ARHI08010,162,*Central
ARHI08010,162,*Central
ARHI08010,162,*Central
ARHI10011,16,*Central
ARHI10011,16,*Central
ARHI10019,7,*Central
ARHI10019,7,*George Square/Buccleuch
ARHI10042,4,*Central
ARHI10042,4,*Central
ARJA10002,76,*George Square/Buccleuch
ARJA10002,76,*Central
ARJA10002,76,*Central
ARJA11002,77,*Lauriston
